window_start,train_loss,eval_loss,mae,rmse,r2
984,0.11424519101778666,0.2171868234872818,0.061323586851358414,0.08706661295229819,0.9056721329689026
990,0.11540035472975838,0.20947787165641785,0.05679072439670563,0.08380796790528278,0.9152581095695496
996,0.11407985501819187,0.21357330679893494,0.05649542436003685,0.08237876397391508,0.92010897397995
1002,0.11345840096473694,0.20929677784442902,0.054786209017038345,0.07219916909411217,0.9374502301216125
1008,0.11417537569999694,0.201884463429451,0.050837937742471695,0.06733972443366974,0.946150541305542
1014,0.11303211900922987,0.19851918518543243,0.05266973376274109,0.06882882367925834,0.9455013275146484
1020,0.11187960412767198,0.19716478884220123,0.05261550098657608,0.0680043914948963,0.9482008218765259
1026,0.1120369529724121,0.1955914944410324,0.052638940513134,0.0688907643896671,0.9478219747543335
1032,0.11308359861373901,0.1939266324043274,0.051928479224443436,0.0664520981938251,0.9525976777076721
1038,0.11469839016596477,0.19123055040836334,0.05383452773094177,0.06999322138901021,0.9492961168289185
1044,0.11571455796559652,0.18506109714508057,0.05152333900332451,0.06731124546538712,0.9551075100898743
1050,0.11505167206128439,0.1870148479938507,0.05363430455327034,0.06979817458254381,0.9543707370758057
1056,0.11771386543909709,0.1932833343744278,0.05694892629981041,0.07342211239998206,0.952748715877533
1062,0.11784437086847094,0.18857870995998383,0.05423916503787041,0.0726970123725662,0.9581217169761658
1068,0.11732949508561029,0.19455192983150482,0.056875985115766525,0.07594932236988353,0.9580971598625183
1074,0.11524058474434747,0.19368982315063477,0.054295044392347336,0.07234812872593198,0.9647010564804077
1080,0.11441095299190945,0.19644123315811157,0.059109438210725784,0.07929424671458914,0.9602972865104675
1086,0.11300247444046868,0.19565267860889435,0.060029033571481705,0.08057507843969654,0.9611212015151978
1092,0.11319947083791097,0.1994301825761795,0.06442693620920181,0.08326146974734415,0.9607632756233215
1098,0.11412769582536486,0.19879576563835144,0.061884671449661255,0.08265160256392458,0.9629855751991272
1104,0.11296636634402805,0.20369555056095123,0.06663297861814499,0.08904552381581096,0.9585244059562683
1110,0.11553088466326396,0.19860851764678955,0.0605350024998188,0.08090945814376017,0.9666873216629028
1116,0.11552518765131632,0.20330460369586945,0.06486111879348755,0.08668337972684277,0.9625781774520874
1122,0.11588909533288744,0.20278297364711761,0.06536547839641571,0.08667328250440862,0.9632809162139893
1128,0.11496056424246894,0.19700409471988678,0.06256332248449326,0.08346304323024767,0.966750979423523
1134,0.11455166909429762,0.19214142858982086,0.06070661172270775,0.08198632133893345,0.9686911106109619
1140,0.11390194522009955,0.197056844830513,0.06252307444810867,0.08385702113758477,0.9679626822471619
1146,0.11346107496155633,0.19634613394737244,0.06376289576292038,0.08678430343458221,0.9662823677062988
1152,0.11501821001370748,0.2015775889158249,0.07016600668430328,0.09356657601717232,0.9614876508712769
1158,0.11608722567558288,0.19572587311267853,0.06392356753349304,0.08564270456904113,0.9684553146362305
1164,0.11523327522807651,0.19667577743530273,0.06610354781150818,0.08799918940137604,0.9675012230873108
1170,0.11505757411321005,0.19969229400157928,0.06626112759113312,0.08833349494377608,0.968080997467041
1176,0.11441522929403516,0.19838638603687286,0.06433446705341339,0.08685660606190378,0.9699996709823608
1182,0.11386634270350138,0.1929180920124054,0.06450790911912918,0.08725621351993121,0.970555305480957
1188,0.11348644137382508,0.19500096142292023,0.06572532653808594,0.08831811099491081,0.9704196453094482
1194,0.11312125126520793,0.1917748898267746,0.06459111720323563,0.0874653833962191,0.9715197086334229
1200,0.11325928039020962,0.19600296020507812,0.06579393893480301,0.08839315752653383,0.9713205099105835
1206,0.11438184221585591,0.19672827422618866,0.0666678324341774,0.09001766869175565,0.9706149101257324
1212,0.11331617646747165,0.19731701910495758,0.06897875666618347,0.09427542275731285,0.9680542349815369
1218,0.11240888635317485,0.19448475539684296,0.06684672087430954,0.09038344801498732,0.9708596467971802
1224,0.11317757063441806,0.1976798176765442,0.07265201210975647,0.09823234861488542,0.9657081365585327
1230,0.11611549880769517,0.19680504500865936,0.06805143505334854,0.09215290948124066,0.96996009349823
1236,0.11458807110786438,0.1916031390428543,0.06707967817783356,0.09155353800103028,0.9704397916793823
1242,0.11470937821600172,0.19147169589996338,0.06593994051218033,0.08951788873318761,0.971668541431427
1248,0.11341260115305583,0.1872362196445465,0.06451943516731262,0.08730935899239474,0.9728956818580627
1254,0.11378756602605183,0.18867294490337372,0.06604304164648056,0.09050164151053167,0.9707420468330383
1260,0.11355552183257209,0.1911921203136444,0.06760042905807495,0.09204291283551914,0.9696144461631775
1266,0.11377272910541958,0.18699568510055542,0.0650937408208847,0.08893526006224899,0.9716477394104004
1272,0.11564307279056973,0.19274652004241943,0.07011298835277557,0.0950925530760419,0.9676273465156555
1278,0.11485604723294576,0.198522686958313,0.07295984774827957,0.09890203275623737,0.9649778604507446
1284,0.11628415001763238,0.19263745844364166,0.07064587622880936,0.09554134533025126,0.9671995043754578
1290,0.11704918887880113,0.20274239778518677,0.074626624584198,0.09865375334269422,0.9648305773735046
1296,0.1161600226826138,0.18750520050525665,0.06671562790870667,0.09057425422386435,0.9701514840126038
1302,0.1153105205959744,0.19390420615673065,0.07087818533182144,0.09606895786002578,0.9660004377365112
1308,0.11622482909096613,0.19606183469295502,0.0730355754494667,0.0989098623634541,0.9633753895759583
1314,0.11443143937322829,0.19454927742481232,0.07224591076374054,0.09815040494888241,0.9632136821746826
1320,0.11330317934354146,0.193532794713974,0.07376326620578766,0.09933211503379182,0.9616397619247437
1326,0.11457300265630087,0.20466098189353943,0.07786036282777786,0.10349509197498247,0.9579983949661255
1332,0.11356557779841953,0.2007049173116684,0.0781148299574852,0.10339461757289237,0.9578279256820679
1338,0.11413216114044189,0.2026498168706894,0.07794400304555893,0.10467280615696913,0.9565715193748474
1344,0.11310626957151625,0.20478522777557373,0.07683960348367691,0.10314489049980764,0.9576737880706787
1350,0.11215125587251451,0.20457297563552856,0.0798577070236206,0.1071439789815482,0.954338550567627
1356,0.11257284045219422,0.20220673084259033,0.07865764945745468,0.10550158484057237,0.9553112983703613
1362,0.11245301100942824,0.20453424751758575,0.08261502534151077,0.11018164811982871,0.9507307410240173
1368,0.11411716779073079,0.20457549393177032,0.07959218323230743,0.10766209705513888,0.9524727463722229
1374,0.1132286822795868,0.2081056386232376,0.07956761121749878,0.10802808850655324,0.9517264366149902
1380,0.1129335814052158,0.2107139378786087,0.08073455095291138,0.1100974575363729,0.9488537907600403
1386,0.11357702493667603,0.21527734398841858,0.0830184668302536,0.1117828477033993,0.9458434581756592
1392,0.11511047071880764,0.21134881675243378,0.0841272845864296,0.11326643008270813,0.9427453279495239
